HDR,ROLLING SYSTEM DEMAND
VD,20220201000000,25232
VD,20220201000500,25363
VD,20220201001000,25400
VD,20220201001500,25529
VD,20220201002000,25531
VD,20220201002500,25613
VD,20220201003000,25674
VD,20220201003500,25781
VD,20220201004000,25846
VD,20220201004500,25872
VD,20220201005000,25918
VD,20220201005500,26093
VD,20220201010000,26152
VD,20220201010500,26136
VD,20220201011000,26136
VD,20220201011500,26290
VD,20220201012000,26325
VD,20220201012500,26369
VD,20220201013000,26277
VD,20220201013500,26070
VD,20220201014000,25974
VD,20220201014500,25922
VD,20220201015000,26024
VD,20220201015500,26100
VD,20220201020000,26145
VD,20220201020500,26160
VD,20220201021000,26101
VD,20220201021500,26111
VD,20220201022000,26177
VD,20220201022500,26133
VD,20220201023000,26261
VD,20220201023500,26293
VD,20220201024000,26177
VD,20220201024500,26225
VD,20220201025000,26207
VD,20220201025500,26102
VD,20220201030000,25943
VD,20220201030500,25863
VD,20220201031000,25915
VD,20220201031500,25840
VD,20220201032000,25782
VD,20220201032500,25761
VD,20220201033000,25747
VD,20220201033500,25762
VD,20220201034000,25768
VD,20220201034500,25726
VD,20220201035000,25685
VD,20220201035500,25680
VD,20220201040000,25785
VD,20220201040500,26069
VD,20220201041000,26118
VD,20220201041500,26167
VD,20220201042000,26183
VD,20220201042500,26115
VD,20220201043000,26048
VD,20220201043500,25948
VD,20220201044000,25983
VD,20220201044500,26024
VD,20220201045000,26092
VD,20220201045500,26154
VD,20220201050000,26120
VD,20220201050500,25939
VD,20220201051000,25945
VD,20220201051500,25971
VD,20220201052000,25984
VD,20220201052500,25915
VD,20220201053000,25948
VD,20220201053500,26176
VD,20220201054000,26286
VD,20220201054500,26439
VD,20220201055000,26671
VD,20220201055500,26853
VD,20220201060000,26977
VD,20220201060500,27313
VD,20220201061000,27805
VD,20220201061500,28230
VD,20220201062000,28577
VD,20220201062500,28808
VD,20220201063000,29134
VD,20220201063500,29558
VD,20220201064000,30146
VD,20220201064500,30782
VD,20220201065000,31136
VD,20220201065500,31446
VD,20220201070000,31878
VD,20220201070500,32470
VD,20220201071000,32851
VD,20220201071500,33071
VD,20220201072000,33533
VD,20220201072500,33986
VD,20220201073000,34217
VD,20220201073500,34215
VD,20220201074000,34350
VD,20220201074500,34568
VD,20220201075000,34859
VD,20220201075500,35055
VD,20220201080000,35076
VD,20220201080500,35260
VD,20220201081000,35334
VD,20220201081500,35474
VD,20220201082000,35501
VD,20220201082500,35519
VD,20220201083000,35662
VD,20220201083500,35615
VD,20220201084000,35583
VD,20220201084500,35584
VD,20220201085000,35647
VD,20220201085500,35777
VD,20220201090000,35964
VD,20220201090500,36178
VD,20220201091000,36200
VD,20220201091500,36119
VD,20220201092000,36061
VD,20220201092500,35992
VD,20220201093000,36023
VD,20220201093500,35864
VD,20220201094000,35818
VD,20220201094500,35783
VD,20220201095000,35460
VD,20220201095500,35236
VD,20220201100000,35071
VD,20220201100500,34823
VD,20220201101000,34716
VD,20220201101500,34626
VD,20220201102000,34502
VD,20220201102500,34387
VD,20220201103000,34364
VD,20220201103500,34298
VD,20220201104000,34109
VD,20220201104500,34015
VD,20220201105000,34016
VD,20220201105500,33817
VD,20220201110000,33728
VD,20220201110500,33669
VD,20220201111000,33527
VD,20220201111500,33534
VD,20220201112000,33463
VD,20220201112500,33182
VD,20220201113000,33058
VD,20220201113500,32899
VD,20220201114000,32860
VD,20220201114500,32774
VD,20220201115000,32674
VD,20220201115500,32611
VD,20220201120000,32629
VD,20220201120500,32752
VD,20220201121000,32816
VD,20220201121500,32824
VD,20220201122000,32889
VD,20220201122500,32844
VD,20220201123000,32842
VD,20220201123500,32870
VD,20220201124000,32929
VD,20220201124500,32750
VD,20220201125000,32619
VD,20220201125500,32634
VD,20220201130000,32651
VD,20220201130500,32619
VD,20220201131000,32616
VD,20220201131500,32909
VD,20220201132000,32962
VD,20220201132500,32961
VD,20220201133000,32940
VD,20220201133500,32815
VD,20220201134000,32837
VD,20220201134500,32907
VD,20220201135000,32929
VD,20220201135500,32977
VD,20220201140000,32979
VD,20220201140500,33325
VD,20220201141000,33510
VD,20220201141500,33533
VD,20220201142000,33658
VD,20220201142500,33769
VD,20220201143000,33802
VD,20220201143500,33819
VD,20220201144000,33981
VD,20220201144500,33937
VD,20220201145000,33905
VD,20220201145500,33861
VD,20220201150000,33788
VD,20220201150500,33833
VD,20220201151000,33877
VD,20220201151500,33938
VD,20220201152000,33904
VD,20220201152500,33924
VD,20220201153000,34181
VD,20220201153500,34368
VD,20220201154000,34460
VD,20220201154500,34665
VD,20220201155000,35061
VD,20220201155500,35275
VD,20220201160000,35308
VD,20220201160500,35620
VD,20220201161000,35814
VD,20220201161500,35939
VD,20220201162000,36009
VD,20220201162500,36219
VD,20220201163000,36416
VD,20220201163500,36736
VD,20220201164000,37066
VD,20220201164500,37428
VD,20220201165000,37742
VD,20220201165500,38018
VD,20220201170000,38389
VD,20220201170500,38995
VD,20220201171000,39307
VD,20220201171500,39603
VD,20220201172000,40232
VD,20220201172500,40462
VD,20220201173000,40625
VD,20220201173500,40701
VD,20220201174000,40724
VD,20220201174500,40853
VD,20220201175000,40868
VD,20220201175500,40769
VD,20220201180000,40712
VD,20220201180500,40648
VD,20220201181000,40573
VD,20220201181500,40455
VD,20220201182000,40313
VD,20220201182500,40090
VD,20220201183000,39924
VD,20220201183500,39840
VD,20220201184000,39749
VD,20220201184500,39544
VD,20220201185000,39407
VD,20220201185500,39223
VD,20220201190000,38972
VD,20220201190500,38978
VD,20220201191000,39019
VD,20220201191500,38833
VD,20220201192000,38585
VD,20220201192500,38329
VD,20220201193000,38104
VD,20220201193500,37961
VD,20220201194000,37764
VD,20220201194500,37498
VD,20220201195000,37332
VD,20220201195500,37316
VD,20220201200000,37168
VD,20220201200500,36947
VD,20220201201000,36670
VD,20220201201500,36681
VD,20220201202000,36219
VD,20220201202500,35830
VD,20220201203000,35617
VD,20220201203500,35497
VD,20220201204000,35227
VD,20220201204500,34874
VD,20220201205000,34576
VD,20220201205500,34297
VD,20220201210000,34227
VD,20220201210500,34055
VD,20220201211000,33862
VD,20220201211500,33325
VD,20220201212000,32939
VD,20220201212500,32428
VD,20220201213000,31946
VD,20220201213500,31602
VD,20220201214000,31307
VD,20220201214500,31070
VD,20220201215000,30950
VD,20220201215500,30664
VD,20220201220000,30251
VD,20220201220500,30064
VD,20220201221000,29805
VD,20220201221500,29442
VD,20220201222000,29160
VD,20220201222500,28843
VD,20220201223000,28672
VD,20220201223500,28576
VD,20220201224000,28377
VD,20220201224500,28183
VD,20220201225000,27765
VD,20220201225500,27487
VD,20220201230000,27105
VD,20220201230500,26803
VD,20220201231000,26785
VD,20220201231500,26524
VD,20220201232000,26275
VD,20220201232500,26098
VD,20220201233000,25990
VD,20220201233500,25829
VD,20220201234000,25867
VD,20220201234500,25881
VD,20220201235000,25756
VD,20220201235500,25613
VD,20220202000000,25568
VD,20220202000500,25892
VD,20220202001000,25916
VD,20220202001500,25966
VD,20220202002000,25921
VD,20220202002500,25895
VD,20220202003000,25911
VD,20220202003500,25936
VD,20220202004000,25937
VD,20220202004500,26010
VD,20220202005000,26043
VD,20220202005500,26007
VD,20220202010000,26071
VD,20220202010500,26398
VD,20220202011000,26505
VD,20220202011500,26551
VD,20220202012000,26561
VD,20220202012500,26512
VD,20220202013000,26578
VD,20220202013500,26702
VD,20220202014000,26753
VD,20220202014500,26790
VD,20220202015000,26736
VD,20220202015500,26545
VD,20220202020000,26490
VD,20220202020500,26432
VD,20220202021000,26307
VD,20220202021500,26330
VD,20220202022000,26170
VD,20220202022500,26049
VD,20220202023000,26028
VD,20220202023500,25928
VD,20220202024000,25955
VD,20220202024500,25962
VD,20220202025000,25984
VD,20220202025500,26038
VD,20220202030000,26043
VD,20220202030500,25990
VD,20220202031000,25944
VD,20220202031500,25924
VD,20220202032000,25882
VD,20220202032500,25844
VD,20220202033000,25760
VD,20220202033500,25744
VD,20220202034000,25800
VD,20220202034500,25774
VD,20220202035000,25772
VD,20220202035500,25728
VD,20220202040000,25648
VD,20220202040500,25394
VD,20220202041000,25382
VD,20220202041500,25261
VD,20220202042000,25111
VD,20220202042500,25025
VD,20220202043000,24970
VD,20220202043500,24924
VD,20220202044000,24825
VD,20220202044500,24777
VD,20220202045000,24793
VD,20220202045500,24909
VD,20220202050000,25305
VD,20220202050500,25648
VD,20220202051000,25911
VD,20220202051500,26092
VD,20220202052000,26183
VD,20220202052500,26201
VD,20220202053000,26440
VD,20220202053500,26682
VD,20220202054000,26785
VD,20220202054500,26934
VD,20220202055000,27160
VD,20220202055500,27515
VD,20220202060000,27782
VD,20220202060500,28174
VD,20220202061000,28860
VD,20220202061500,29335
VD,20220202062000,29971
VD,20220202062500,30368
VD,20220202063000,30674
VD,20220202063500,31049
VD,20220202064000,31608
VD,20220202064500,32100
VD,20220202065000,32522
VD,20220202065500,32999
VD,20220202070000,33409
VD,20220202070500,33855
VD,20220202071000,34751
VD,20220202071500,35374
VD,20220202072000,35672
